Subset,Criterion,BP0,BP1,BP2,BP3,BP4
parcels_subset,qtrmi_s,0.0,0.0,0.0,0.0,0.5471396672571913
parcels_subset,hvhsz_s,0.0,0.0,0.0,0.0010000000000000154,0.0010000000000000154
parcels_subset,agfb_s,0.0,0.0,0.0,0.0,0.0
parcels_subset,hbrn_s,0.0,0.019339169270605895,0.019339169270605895,0.019339169270605895,0.019339169270605895
parcels_subset,slope_s,0.0,0.001583755560343698,0.001583755560343698,0.001583755560343698,0.001583755560343698
parcels_subset,hwui_s,0.0,0.0,0.0,0.0,0.0
parcels_subset,fbfm_s,0.0,0.430937407911859,0.430937407911859,0.430937407911859,0.430937407911859
subset_1,qtrmi_s,0.0,0.009017996599823271,0.009017996599823271,0.0,0.0
subset_1,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_1,agfb_s,0.0,0.0,0.030176176074260288,0.0,0.0
subset_1,hbrn_s,0.0,0.9494209036183395,0.9542843049904813,0.0,0.0
subset_1,slope_s,0.0,0.0,0.0,0.0,0.0
subset_1,hwui_s,0.0,0.0010767515653627255,0.005552615352763989,0.0,0.0
subset_1,fbfm_s,0.0,0.0009689069826711375,0.0009689069826711375,0.0,0.0
subset_2,qtrmi_s,0.0,0.003163790344711772,0.003163790344711772,0.003163790344711772,0.003163790344711772
subset_2,hvhsz_s,0.0,0.37998056341038716,0.3812157518182017,0.3812157518182017,0.3812157518182017
subset_2,agfb_s,0.0,0.0,0.2418145795343624,0.2418145795343624,0.2418145795343624
subset_2,hbrn_s,0.0,0.0006018093420885041,0.0006018093420885041,0.0006018093420885041,0.0006018093420885041
subset_2,slope_s,0.0,0.002548221908765776,0.002548221908765776,0.002548221908765776,0.002548221908765776
subset_2,hwui_s,0.0,0.0,0.0,0.37005035300590594,0.37005035300590594
subset_2,fbfm_s,0.0,0.0006054940459637462,0.0006054940459637462,0.0006054940459637462,0.0006054940459637462
subset_3,qtrmi_s,0.0,0.002788014200805743,0.004164391459510015,0.004240856862771364,0.004240856862771364
subset_3,hvhsz_s,0.0,0.0,0.0012764574040851294,0.0012764574040851294,0.0012764574040851294
subset_3,agfb_s,0.0,0.9914808559689998,0.99213139228759,0.99213139228759,0.99213139228759
subset_3,hbrn_s,0.0,0.0,0.0,0.0,0.0
subset_3,slope_s,0.0,0.0,0.0004372205251684612,0.0004372205251684612,0.0004372205251684612
subset_3,hwui_s,0.0,0.0,0.0,0.0,0.00024694784563623337
subset_3,fbfm_s,0.0,0.0,0.0016671250747488508,0.0016671250747488508,0.0016671250747488508
subset_4,qtrmi_s,0.0,0.003237951381793305,0.003237951381793305,0.00687755968462018,0.0
subset_4,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_4,agfb_s,0.0,0.6695105174117219,0.6707709131075645,0.670849093840021,0.0
subset_4,hbrn_s,0.0,0.0,0.0,0.0,0.0
subset_4,slope_s,0.0,0.0,0.008080491522773174,0.008080491522773174,0.0
subset_4,hwui_s,0.0,0.0,0.3137452569323438,0.31394924848081085,0.0
subset_4,fbfm_s,0.0,0.00024360647177479206,0.00024360647177479206,0.00024360647177479206,0.0
subset_5,qtrmi_s,0.0,0.0,0.9770103197969795,0.9798744966455069,0.0
subset_5,hvhsz_s,0.0,0.005528698985762174,0.005528698985762174,0.005528698985762174,0.0
subset_5,agfb_s,0.0,0.0,0.013058066513197302,0.013058066513197302,0.0
subset_5,hbrn_s,0.0,0.0,0.0,0.0,0.0
subset_5,slope_s,0.0,0.0,0.0,0.0,0.0
subset_5,hwui_s,0.0,0.0,0.0,0.0,0.0
subset_5,fbfm_s,0.0,0.00153873785553367,0.00153873785553367,0.00153873785553367,0.0
subset_6,qtrmi_s,0.0,0.0,0.0,0.0,0.0
subset_6,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_6,agfb_s,0.0,0.0,0.0,0.9944359496082795,0.9944359496082795
subset_6,hbrn_s,0.0,0.0,0.0,0.0,0.0
subset_6,slope_s,0.0,0.002320114552483419,0.002320114552483419,0.002320114552483419,0.002320114552483419
subset_6,hwui_s,0.0,0.0,0.0,0.0,0.0
subset_6,fbfm_s,0.0,0.002196837693270084,0.0032439358392370474,0.0032439358392370474,0.0032439358392370474
subset_7,qtrmi_s,0.0,0.002786152404487015,0.002786152404487015,0.002786152404487015,0.0
subset_7,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_7,agfb_s,0.0,0.0,0.012731236924881355,0.012731236924881355,0.0
subset_7,hbrn_s,0.0,0.010061749258819374,0.010061749258819374,0.010061749258819374,0.0
subset_7,slope_s,0.0,0.0021680305724557903,0.0029822829476841874,0.0029822829476841874,0.0
subset_7,hwui_s,0.0,0.0,0.9682370400497207,0.9714385784641281,0.0
subset_7,fbfm_s,0.0,0.0,0.0,0.0,0.0
subset_8,qtrmi_s,0.0,0.0001940544088287116,0.0001940544088287116,0.0001940544088287116,0.0001940544088287116
subset_8,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_8,agfb_s,0.0,0.5300832639440487,0.5349391069549416,0.5349391069549416,0.5349391069549416
subset_8,hbrn_s,0.0,0.0023961110453773996,0.0023961110453773996,0.0023961110453773996,0.0023961110453773996
subset_8,slope_s,0.0,0.00033499751483308834,0.00033499751483308834,0.00033499751483308834,0.00033499751483308834
subset_8,hwui_s,0.0,0.0,0.0,0.4618317182633337,0.46213573007601916
subset_8,fbfm_s,0.0,0.0,0.0,0.0,0.0
subset_9,qtrmi_s,0.0,0.0,0.0,0.0,0.0
subset_9,hvhsz_s,0.0,0.0,0.0,0.0,0.0
subset_9,agfb_s,0.0,0.562276248997878,0.562276248997878,0.562276248997878,0.562276248997878
subset_9,hbrn_s,0.0,0.0,0.0,0.0,0.0
subset_9,slope_s,0.0,0.0,0.0,0.0,0.0
subset_9,hwui_s,0.0,0.0,0.0,0.437723751002122,0.437723751002122
subset_9,fbfm_s,0.0,0.0,0.0,0.0,0.0
